start_date,issue_date,estimated_work_cost,issued_permit_cost,building_type_description,building_category_description,work_nature
1997-08-25,1997-09-16,11000.0,40.0,Résidentiel,Permis ancien système,"DEMOLITION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES., DEMOLIR POUR RECONSTRUIRE UNE NOU-, VELLE RESIDENCE., LES REBUTS SERONT TRANSPORTE DANS"
1994-05-16,1994-05-19,19000.0,76.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 19 NOV. 1994., CONSTRUCTION D'UNE PISCINE CREUSEE, FOND DE BETON, MUR D'ACIER AVEC, TOILE DE VINYLE., DOIT ETRE CONFORME A L'ARTICLE"
1997-07-01,1997-07-03,2000.0,25.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 24'-0., DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319., LA PISCINE NE DOIT PAS ETRE ACCES-"
1997-07-01,1997-07-03,750.0,25.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UN PATIO DE BOIS, TRAITE DE 12'-0 X 5'-0 SUR PILIERS, DE BETON EXCAVES., DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS MUNICIPAUX."
1997-07-01,1997-07-11,8000.0,32.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RALLONGE D'UN, ETAGE DE 4.87 X 3.65 M SUR FONDA-, TION EXISTANTE (CHAMBRE-FROIDE), CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE."
1997-07-01,1997-07-15,10000.0,40.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RALLONGE D'UN, ETAGE DE 7.62 X 6.10 M, RALLONGE: GARAGE SUR MURET DE BETON, CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE. DOIT ETRE CONFORME AU C.N.B"
1997-07-03,1997-07-03,6750.0,27.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE VERANDA SUR, PATIO EXISTANT DE 4.85 M X 3.64 M, PATIO SUR PILIERS DE BETON., DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS MUNICIPAUX."
1997-07-04,1997-07-08,3500.0,25.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 21'-0., DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319., LA PISCINE NE DOIT PAS ETRE ACCES-"
1997-07-07,1997-07-08,300.0,25.0,Résidentiel,Permis ancien système,"RENOVATION EXTERIEUR D'UNE RESIDEN-, CE EXISTANTE., CHANGER LE PAREMENT EXTERIEUR SUR, UN MUR., EXISTANT: BOIS POUR DECLIN DE"
1997-07-07,1997-07-09,3600.0,25.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 24', DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319., LA PISCINE NE DOIT PAS ETRE ACCES-"
1997-07-07,1997-07-11,40000.0,160.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RALLONGE A L'E-, TAGE, AU DESSUS DU GARAGE., DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS MUNICIPAUX., CORRECTION SUR PLAN APPROUVE AVEC"
1997-07-08,1997-07-08,800.0,25.0,Résidentiel,Permis ancien système,"RENOVATION EXTERIEUR D'UNE RESIDEN-, CE EXISTANTE., CHANGER LE PAREMENT DES PIGNONS., EXISTANT: BOIS POUR DECLIN D'ALUMI-, NIUM."
1997-07-08,1997-07-08,4700.0,25.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 24' X 15', DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319., LA PISCINE NE DOIT PAS ETRE ACCES-"
1997-07-14,1997-07-15,4000.0,25.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RALLONGE D'UN, ETAGE A UNE MAISON MOBILE EXIST., RALLONGE DE 4.26 X 3.65 M SUR DALLE, DE PATIO., CONSTRUCTION D'UN PATIO DE BOIS DE"
1997-07-16,1997-07-17,6500.0,26.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 24 ', DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319., FILTREUR ET PONT-SOLEIL: 6'-6"" MIN."
1997-07-16,1997-07-18,2500.0,25.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 18'., LA PISCINE NE DOIT PAS ETRE ACCES-, SIBLE, LORSQUE NON-UTILISEE., DOIT ETRE CONFORME A L'ARTICLE"
1997-07-16,1997-07-22,100000.0,350.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE D'UN ETAGE AVEC GARAGE, SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE. DOIT ETRE CONFORME AU C.N.B"
1991-09-25,1991-10-02,15000.0,60.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 2 AVRIL 1992., CONSTRUCTION D'UNE RALLONGE A, L'ETAGE , AU DESSUS DU GARAGE EXIS-, TANT., CORRECTION SUR PLAN APPROUVE."
1991-09-27,1991-10-02,80000.0,290.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 2 AVRIL 1992., CONSTRUCTION D'UNE RESIDENCE D'UN, ETAGE UNIFAMILIALE AVEC GARAGE, SIMPLE AU SOUS-SOL., DESSUS DU PLANCHER DU GARAGE,125 mm"
1991-09-27,1991-10-08,21000.0,84.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 8 AVRIL 1992., CONSTRUCTION D'UNE RALLONGE D'UN, ETAGE A UNE RESIDENCE UNIFAMILIALE, EXISTANTE., RALLONGE SUR MURET DE BETON (VIDE"
1991-09-30,1991-10-07,100000.0,350.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 7 AVRIL 1992., CONSTRUCTION D'UNE RESIDENCE DE, DEUX ETAGES AVEC GARAGE SIMPLE, INTEGRE., DOIT ETRE CONFORME AU C.N.B."
1997-07-17,1997-07-17,2000.0,25.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UN PATIO DE BOIS, TRAITE SUR DEUX NIVEAUX., PATIO SUR BLOCS DE BETON, AVEC, GARDE-CORPS DE 91 CM DE HAUTEUR., 1 IER NIVEAU: 6.00 X 3.50 M"
1997-07-21,1997-07-25,2000.0,25.0,Résidentiel,Permis ancien système,"TRANSFORME LE GARAGE EN SALLE, FAMILIALE. (18' X 24'), DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS MUNICIPAUX., CHANGER LA PORTE DE GARAGE POUR"
1997-07-23,1997-07-24,2000.0,25.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UN PATIO DE BOIS, TRAITE DE 4.26 X 4.26 M SUR BLOCS, DE BETON., DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS MUNICIPAUX."
1997-07-24,1997-07-28,18000.0,72.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE PISCINE CREUSEE, DE 18 ' X 36 '.PISCINE DE BETON., DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319., CLOTURE DE MAILLE CIMENTEE DE 5' DE"
1997-07-24,1997-07-29,35000.0,140.0,Commercial,Permis ancien système,"INSTALLATION DE 6 ENTENNES DE, TRANSMISSION SUR LA TOUR D'EAU DU, GOLF ROYAL MONTREAL, ET D'UN ABRI, S'Y RATTACHANT DE 3.65 M X 9.14 M, DOIT ETRE CONFORME AU C.N.B. 1990"
1997-07-28,1997-07-28,130000.0,410.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE.DOIT ETRE CONFORME AU C.N.B"
1997-07-28,1997-08-01,400.0,25.0,Résidentiel,Permis ancien système,"RENOVATION D'UNE PARTIE DU SOUS-SOL, EXISTANT., AJOUTER DEUX DIVISIONS POUR UN, BUREAU D'AFFAIRE., DOIT ETRE CONFORME AU C.N.B. 1990"
1997-07-30,1997-08-04,2000.0,25.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 24'., LA PISCINE NE DOIT PAS ETRE ACCES-, SIBLE LORSQUE NON UTLISEE., DOIT ETRE CONFORME A L'ARTICLE"
1997-07-30,1997-08-06,10000.0,40.0,Commercial,Permis ancien système,"RENOVATIONS INTERIEURES D'UN LOCAL, COMMERCIAL., SUBDIVISION D'UN LOCAL EN DEUX AVEC, ENTREE PARTAGEE., DOIT ETRE CONFORME AU C.N.B. 1990"
1997-07-31,1997-08-01,220000.0,570.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, DOUBLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE.DOIT ETRE CONFORME AU C.N.B"
1997-07-31,1997-08-07,10000.0,40.0,Commercial,Permis ancien système,"RENOVATIONS INTERIEURES D'UN LOCAL, COMMERCIAL., AGRANDISSEMENT DE LA SUPERFICIE, EN UTILISANT ESPACE DE LA CONCIER-, GERIE SITUE A L'ARRIERE."
1997-08-01,1997-08-07,14000.0,56.0,Résidentiel,Permis ancien système,"RENOVATIONS EXTERIEURES DE LA RESI-, DENCE., AGRANDIR BALCON DE BOIS A L'ETAGE, ET CONSTRUCTION D'UNE TOITURE AU, DESSUS DU PERRON DE BETON DE"
1997-08-04,1997-08-13,5000.0,25.0,Résidentiel,Permis ancien système,"PREMIERE PHASE DE LA FINITION DU, SOUS-SOL: INSTALLER PAPIER NOIR,, 2"" X 4"", LAINE R-12 ET POLYTHENE, SUR LES MURS EXT....INSTALLER NOU-, VELLES DIVISIONS INT. EN 2"" X 4...."
1997-08-05,1997-08-07,18000.0,72.0,Résidentiel,Permis ancien système,"CONSTRUCTON D'UNE RALLONGE D'UN, ETAGE POUR RESIDENCE EXISTANTE., AMENAGEMENT D'UNE SALLE DE SEJOUR., DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS MUNICIPAUX."
1997-08-05,1997-08-13,4000.0,25.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UN PATIO DE BOIS EN, DEUX SECTION., UNE DE 13' X 12' A 6"" DU SOL ET, UNE AUTRE DE 12' X 11'-3"" A 18"" DU, SOL."
1991-10-04,1991-10-11,125000.0,400.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 11 AVRIL 1992., CONSTRUCTION D'UNE RESIDENCE DE, DEUX ETAGES AVEC GARAGE DOUBLE, INTEGRE., CORRECTION SUR PLAN APPROUVE."
1991-10-06,1991-10-11,150000.0,450.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS SELON L'ARTI-, CLE 2.1.4 DU REGLEMENT DE CONST.321, CE PERMIS EST ACCORDE CONDITIONNEL-, LEMENT A CE QUE:, 1. Une permission de la C.P.T.A.Q."
1991-10-07,1991-10-17,125000.0,400.0,Commercial,Permis ancien système,"EXPIRATION DU PERMIS 17 AVRIL 1992., CONSTRUCTION D'UN BATIMENT RATTACHE, A L'ENTRETIEN DU GOLF.(GARAGE ENT.), CONSTRUCTION D'UN ETAGE AVEC PARTIE, MEZZANINE SUR FONDATION EN MURET."
1991-10-08,1991-10-08,1000.0,40.0,Résidentiel,Permis ancien système,"DEMOLITION DE DEUX CHALETS EXISTANT, DEPUIS 1947., CONSTRUCTION DE BOIS RECOUVERT DE, BARDEAUX D'AMIANTE ., ENVIRON 6.09 m X 3.65 m CHACUN."
1991-10-08,1991-10-10,10500.0,42.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 10 AVRIL 1992., INSTALLATION D'UNE PISCINE HORS-, TERRE ET D'UN PONT-SOLEIL., ACCES A LA PISCINE FERMEE, LORSQUE, NON-UTILISE. REGL. 319 ART. 3.3.4.3"
1991-10-09,1991-10-15,3000.0,25.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 15 AVRIL 1992., RALLONGE LE GARAGE EXISTANT DE, 3.04 X 4.87 m ., DOIT ETRE CONFORME AU C.N.B."
1991-10-10,1991-10-15,14000.0,56.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 15 AVRIL 1992., CONSTRUCTION D'UNE PISCINE CREUSEE, DE 4.26 X 8.53 m , DE 1.06 A 2.28 m, DE PROFONDEUR., CONSTRUCTION: FOND DE BETON, MUR"
1991-10-10,1991-10-15,500.0,40.0,Résidentiel,Permis ancien système,"DEMOLITION D'UN GARAGE EXISTANT, POUR FAIRE PLACE A LA CONSTRUCTION, D'UN AUTRE GARAGE., GARAGE DE BOIS 4.41 X 5.79 m A, DEMOLIR."
1991-10-01,1991-10-07,6000.0,25.0,Résidentiel,Permis ancien système,"RENOVATION EXTERIEUR D'UNE RESIDEN-, CE UNIFAMILIALE., CHANGER LE BARDEAUX D'ASPHALTE., CHANGER LES FENETRES, SANS EN, AJOUTE."
1991-10-01,1991-10-10,1000.0,25.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 10 AVRIL 1992., CONSTRUCTION D'UN PATIO DE BOIS, TRAITE DE 3.04 X 4.87 m., CONSTRUCTION A .94 m DU SOL, RAMPE, DE 90 cm DE HAUTEUR OBLIGATOIRE."
1991-10-01,1991-11-20,1000.0,25.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UN PERRON DE BOIS, 3.65 X 3.65 m A 600 mm DU SOL., SOLIVES 38 X 184mm A 400 C/C FIXE, AU SOLIVES DE RIVES PAR DES ETRIERS, PLANCHER EN CONTREPLAQUE 15.5 mm"
1991-10-02,1991-10-15,125000.0,400.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 15 AVRIL 1992., CONSTRUCTION D'UNE RESIDENCE D'UN, ETAGE AVEC GARAGE INTEGRE., DOIT ETRE CONFORME AU C.N.B. ET AU, REGLEMENT 319 POUR LA PLANTATION"
1997-08-27,1997-09-05,16500.0,66.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE PISCINE CREUSEE, DE 16' X 20' X 36'., DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGL. DE ZONAGE 319., CLOTURE D'ALUMINIUM: 4' DE HAUTEUR,"
1997-09-04,1997-09-05,10500.0,42.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE PISCINE CREUSEE, DE 13'-10 X 24'-0 EN FIBRE DE VERRE, DOIT ETRE CONFORME A L'ARTICLE :, 3.3.4 DU REGLEMENT DE ZONAGE 319., CLOTURE DE MAILLE CIMENTEE DE 4' DE"
1997-09-08,1997-09-11,15000.0,60.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RALLONGE D'UN, ETAGE DE 5.02 X 5.48 M AVEC SOUS-, SOL., CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE. DOIT ETRE CONFORME AU C.N.B"
1993-07-16,1993-08-01,80000.0,290.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 1 FEVRIER 94., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE JUMELEE DE DEUX ETAGES AVEC, GARAGE SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1993-07-16,1993-08-01,80000.0,290.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 1 FEVRIER 94., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE JUMELEE DE DEUX ETAGES AEVC, GARAGE SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1993-07-16,1993-08-01,80000.0,290.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 1 FEVRIER 94., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE JUMELEE DE DEUX ETAGES AVEC, GARAGE SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1993-07-16,1993-08-01,60000.0,230.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 1 FEVRIER 94., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1993-07-16,1993-08-01,60000.0,230.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 1 FEVRIER 94., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE JUMELEE DE DEUX ETAGES AVEC, GARAGE SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1993-07-16,1993-08-01,60000.0,230.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 1 FEVRIER 94., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE JUMELEE DE DEUX ETAGES AVEC, GARAGE SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1993-07-16,1993-08-01,60000.0,230.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 1 FEVRIER 94., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE JUMELEE DE DEUX ETAGES AVEC, GARAGE SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1993-07-18,1993-07-20,15000.0,60.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 20 JANVIER 94., CONSTRUCTION D'UNE PISCINE CREUSEE, EN BETON., DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319."
1993-07-20,1993-07-20,13000.0,52.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 20 JANVIER 94., CONSTRUCTION D'UNE PISCINE CREUSEE, FOND DE BETON, MUR D'ACIER AVEC, TOILE DE VINYLE., DOIT ETRE CONFORME A L'ARTICLE"
1993-07-20,1993-07-26,7000.0,28.0,Résidentiel,Permis ancien système,"RENOVATION INTERIEUR D'UN LOCAL, COMMERCIAL EN UN UNITE D'HABITATION, TOTAL DE TROIS LOGEMENTS DANS LE, BATIMENT., MODIFICATIONS DOIVENT ETRE CONFORME"
1994-05-12,1994-05-16,8000.0,32.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 16 NOV. 1994., CONSTRUCTION D'UNE PISCINE CREUSEE, FOND DE BETON, MUR D'ACIER AVEC, TOILE DE VINYLE., DOIT ETRE CONFORME A L'ARTICLE"
1994-05-13,1994-05-17,8000.0,32.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 17 NOV. 1994., CONSTRUCTION D'UN GARAGE DETACHE., DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS DE ZONAGE 319., CONST.ACCESSOIRE ART. 3.3.6.1.7 ET8"
1994-05-16,1994-05-18,165000.0,480.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 18 NOV. 1994., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, DOUBLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1994-05-16,1994-05-18,100000.0,350.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 18 NOV. 1994., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE D'UNE ETAGE AVEC GARAGE, SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1994-05-16,1994-05-17,12000.0,48.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 17 NOV. 1994., CONSTRUCTION D'UNE PISCINE CREUSEE, FOND DE BETON,MUR D'ACIER AVEC, TOILE DE VINYLE., DOIT ETRE CONFORME A L'ARTICLE"
1994-05-16,1994-05-17,85000.0,305.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 17 NOV. 1994., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1994-05-16,1994-05-18,150000.0,450.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 18 NOV. 1994., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, DOUBLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1992-07-20,1992-07-21,2500.0,25.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 21 JANVIER 93., REMISE EN ETAT D'UNE GALERIE EXIS-, TANTE DE 22' X 7'-8""., DOIT ETRE CONFORME A L'ARTICLE, 3.5.2.10 DU REGLEMENT DE ZONAGE 319"
1992-07-22,1992-07-24,1000.0,25.0,Commercial,Permis ancien système,"INSTALLATION D'UN KIOSQUE AGRICOLE, TEMPORAIRE., DOIT ETRE CONFORME A L'ARTICLE, 3.5.2.9.1.4 DU REGLEMENT DE ZONAGE, 319."
1997-06-05,1997-06-06,2000.0,25.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UN PATIO DE BETON DE, 21' X 8' SUR FONDATION DE CIMENT DE, 6"" D'EPAISSEUR AVEC SEMELLE DE 24"", X 12"" A 4'-6"" DE PROFONDEUR., PATIO DE 36"" DE HAUTEUR AVEC GARDE-"
1994-03-03,1994-03-07,150000.0,450.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 7 SEPTEMBRE 94, CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, DOUBLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1991-06-18,1991-06-20,90000.0,320.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 20 DECEMBRE 91, CONSTRUCTION D'UNE RESIDENCE DE, DEUX ETAGES AVEC GARAGE SIMPLE, INTEGRE., CORRECTION SUR PLAN APPROUVE"
1991-06-18,1991-06-20,19500.0,78.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE PISCINE CREUSEE, DE 24' X 37'  DE 3'-6 A 8' PROFOND., FOND DE BETON, MUR D'ACIER AVEC, TOILE DE VINYLE., DOIT ETRE CONFORME A L'ARTICLE"
1991-06-19,1991-07-03,250000.0,600.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 3 JANVIER 1991, CONSTRUCTION D'UNE RESIDENCE DE, DEUX ETAGES AVEC GARAGE DOUBLE, INTEGRE., COMMISSION DU TERRITOIRE AGRICOLE,"
1991-06-20,1991-06-21,1000.0,25.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 24'   4'-0 DE PROFONDEUR., DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319., PISCINE, 5' MIN.DE LA RESIDENCE,"
